Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,Footnote,MarketCap_Updated_M,Updated,Website URL,WC Grade,WC CO2 per Visit,Sustainable Energy,Monthly traffic in K,
465,Skechers U.S.A.,SKX,Apparel,Apparel,yes,yes,no,yes,23,yes,no,no,no,no,no,13550,9389.7,8000.3,7.5,545.8,46.3,7547.4,Robert Greenberg,U.S.,Manhattan Beach,California,https://www.skechers.com,Public,"Market value as of March 28, 2024.",9390,45447,www.skechers.com,F,1.66,sustainable energy,12570,
466,Masco,MAS,Household Products,"Home Equipment, Furnishings",yes,no,no,no,-30,no,yes,no,no,no,no,18000,17335.1,7967,-8.2,908,7.6,5363,Keith J. Allman,U.S.,Livonia,Michigan,https://www.masco.com,Public,"Market value as of March 28, 2024.",17335,45447,www.masco.com,C,0.43,sustainable energy,71.99,
467,Rush Enterprises,RUSHB,Retailing,"Automotive Retailing, Services",yes,no,no,yes,40,yes,no,yes,no,no,no,8449,4164.4,7925,11.6,347.1,-11.3,4364.2,W.M. Rush,U.S.,New Braunfels,Texas,https://www.rushenterprises.com,Public,"Market value as of March 28, 2024.",4164,45447,www.rushenterprises.com,F,2.52,sustainable energy,22.532,
468,Franklin Resources,BEN,Financials,Securities,yes,no,yes,no,-12,no,yes,no,no,no,no,9200,14801.5,7849.4,-5.1,882.8,-31.7,30121.2,Jennifer M. Johnson,U.S.,San Mateo,California,https://www.franklinresources.com,Public,"Figures are for fiscal year ended Sept. 30, 2023. Market value as of March 28, 2024.",14802,45447,www.franklinresources.com,F,1.08,sustainable energy,17.694,
469,ODP,ODP,Retailing,Specialty Retailers: Other,yes,no,no,no,-23,no,yes,no,no,no,no,20000,1942.6,7831,-7.8,139,-16.3,3886,Gerry P. Smith,U.S.,Boca Raton,Florida,https://www.theodpcorp.com,Public,"Market value as of March 28, 2024.",1943,45447,www.theodpcorp.com,B,0.33,bog standard energy,24.461,
470,American Financial Group,AFG,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,40,yes,no,yes,no,no,no,8500,11418.1,7827,11.2,852,-5.1,29787,Carl H. Lindner lll/S. Craig Lindner,U.S.,Cincinnati,Ohio,https://www.afginc.com,Public,"Market value as of March 28, 2024.",11418,45447,www.afginc.com,F,3.43,sustainable energy,10.923,
471,Packaging Corp. of America,PKG,Materials,"Packaging, Containers",yes,no,no,no,-24,no,yes,no,no,yes,no,14900,17033.7,7802.4,-8,765.2,-25.7,8681.1,Mark W. Kowlzan,U.S.,Lake Forest,Illinois,https://www.packagingcorp.com,Public,"Market value as of March 28, 2024.",17034,45447,www.packagingcorp.com,C,0.36,sustainable energy,58.41,
472,Vulcan Materials,VMC,Materials,"Building Materials, Glass",yes,no,no,no,22,yes,no,no,no,no,no,10961,36099.6,7781.9,6.4,933.2,62.1,14545.7,J. Thomas Hill,U.S.,Birmingham,Alabama,https://www.vulcanmaterials.com,Public,"Market value as of March 28, 2024.",36100,45447,www.vulcanmaterials.com,E,0.81,bog standard energy,55.582,
473,Interactive Brokers Group,IBKR,Financials,Securities,yes,no,no,yes,263,yes,no,yes,no,no,no,2932,47328.3,7776,90.4,600,57.9,128423,Milan Galik,U.S.,Greenwich,Connecticut,https://www.interactivebrokers.com,Public,"Market value as of March 28, 2024.",47328,45447,www.interactivebrokers.com,D,0.65,sustainable energy,6866,
474,Williams-Sonoma,WSM,Retailing,Specialty Retailers: Other,yes,no,yes,no,-37,no,yes,no,no,no,no,15000,20357.6,7750.7,-10.6,949.8,-15.8,5273.5,Laura J. Alber,U.S.,San Francisco,California,https://www.williams-sonomainc.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of March 28, 2024.",20358,45447,www.williams-sonoma.com,E,0.73,bog standard energy,7462,
475,XPO,XPO,Transportation,Transportation and Logistics,yes,no,no,no,3,yes,no,no,no,no,no,39450,14169.3,7744,0.3,189,-71.6,7492,Mario A. Harik,U.S.,Greenwich,Connecticut,https://www.xpo.com,Public,"Market value as of March 28, 2024.",14169,45447,www.xpo.com,C,0.42,sustainable energy,706.615,
476,Weyerhaeuser,WY,Materials,Forest and Paper Products,yes,no,no,yes,-91,no,yes,no,no,no,no,9318,26200.5,7674,-24.6,839,-55.4,16983,Devin W. Stockfish,U.S.,Seattle,Washington,https://www.weyerhaeuser.com,Public,"A real estate investment trust. Market value as of March 28, 2024.",26201,45447,www.weyerhaeuser.com,F,0.91,bog standard energy,145.383,
477,Genworth Financial,GNW,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,9,yes,no,no,no,no,no,2700,2825.7,7488,-0.3,76,-87.5,90817,Thomas J. McInerney,U.S.,Richmond,Virginia,https://www.genworth.com,Public,"Market value as of March 28, 2024.",2826,45447,www.genworth.com,F,1.74,bog standard energy,274.635,
478,CMS Energy,CMS,Energy,Utilities: Gas and Electric,yes,no,no,no,-37,no,yes,no,no,no,no,8356,18018.6,7462,-13.2,887,6,33517,Garrick J. Rochow,U.S.,Jackson,Michigan,https://www.cmsenergy.com,Public,"Market value as of March 28, 2024.",18019,45447,www.cmsenergy.com,F,1.5,sustainable energy,15.793,
479,Science Applications International,SAIC,Technology,Information Technology Services,yes,no,yes,no,0,no,no,no,no,yes,no,24000,6734.4,7444,-3.4,477,59,5314,Toni Townes-Whitley,U.S.,Reston,Virginia,https://www.saic.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of March 28, 2024.",6734,45447,www.saic.com,F,1.04,sustainable energy,482.297,
480,Jefferies Financial Group,JEF,Financials,Diversified Financials,yes,no,no,yes,22,yes,no,yes,no,no,no,7564,9347.9,7441.4,4.1,277.7,-64.6,57905.2,Richard B. Handler,U.S.,New York,New York,https://www.jefferies.com,Public,"Figures are for fiscal year ended Nov. 30, 2023. Market value as of March 28, 2024.",9348,45447,www.jefferies.com,F,1.18,sustainable energy,304.988,
481,Bath & Body Works,BBWI,Retailing,Specialty Retailers: Other,yes,no,yes,yes,1,yes,no,no,no,no,no,33069,11249.3,7429,-1.7,878,9.8,5463,Gina R. Boswell,U.S.,Columbus,Ohio,https://www.bbwinc.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of March 28, 2024.",11249,45447,www.bbwinc.com,F,3.19,bog standard energy,54.955,
482,Electronic Arts,EA,Media,Entertainment,yes,no,no,yes,30,yes,no,yes,no,yes,no,13400,35469.4,7426,6.2,802,1.6,13459,Andrew Wilson,U.S.,Redwood City,California,https://www.ea.com,Public,"Figures are for fiscal year ended March 31, 2023. Market value as of March 28, 2024.",35469,45447,www.ea.com,F,1.1,sustainable energy,68460,
483,Taylor Morrison Home,TMHC,Engineering & Construction,Homebuilders,yes,no,yes,no,-26,no,yes,no,no,no,no,2800,6616.7,7417.8,-9.8,768.9,-27,8672.1,Sheryl D. Palmer,U.S.,Scottsdale,Arizona,https://www.taylormorrison.com,Public,"Market value as of March 28, 2024.",6617,45447,www.taylormorrison.com,,,,535.58,
484,Zimmer Biomet Holdings,ZBH,Health Care,Medical Products and Equipment,yes,no,no,no,25,yes,no,yes,no,no,no,18000,27116.8,7394.2,4.3,1024,342.5,21496.9,Ivan Tornos,U.S.,Warsaw,Indiana,https://www.zimmerbiomet.com,Public,"Market value as of March 28, 2024.",27117,45447,www.zimmerbiomet.com,E,0.81,sustainable energy,345.484,
485,Clorox,CLX,Household Products,Household and Personal Products,yes,no,yes,no,20,yes,no,yes,no,no,no,8700,19001.9,7389,4,149,-67.7,5945,Linda Rendle,U.S.,Oakland,California,https://www.thecloroxcompany.com,Public,"Figures are for fiscal year ended June 30, 2023. Market value as of March 28, 2024.",19002,45447,www.thecloroxcompany.com,E,0.67,sustainable energy,92.398,
486,Xylem,XYL,Industrials,Industrial Machinery,yes,no,no,yes,117,yes,no,yes,no,no,no,23000,31246.4,7364,33.4,609,71.5,16112,Matthew F. Pine,U.S.,Washington,District Of Columbia,https://www.xylem.com,Public,"Market value as of March 28, 2024.",31246,45447,www.xylem.com,D,0.52,bog standard energy,603.077,
487,Voya Financial,VOYA,Financials,Diversified Financials,yes,no,yes,yes,92,yes,no,yes,no,no,no,9000,7510.9,7348,24.1,625,22.5,157085,Heather H. Lavallee,U.S.,New York,New York,https://www.voya.com,Public,"Market value as of March 28, 2024.",7511,45447,www.voya.com,F,4.15,sustainable energy,3885,
488,Fastenal,FAST,Wholesalers,Wholesalers: Diversified,yes,no,no,yes,26,yes,no,yes,no,yes,no,20721,44157,7346.7,5.2,1155,6.3,4462.9,Daniel L. Florness,U.S.,Winona,Minnesota,https://www.fastenal.com,Public,"Market value as of March 28, 2024.",44157,45447,www.fastenal.com,C,0.47,sustainable energy,850.146,
489,Watsco,WSO,Wholesalers,Wholesalers: Diversified,yes,no,no,yes,6,yes,no,no,no,no,no,7388,17061.3,7283.8,0.1,536.3,-10.8,3729.2,Albert H. Nahmad,U.S.,Miami,Florida,https://www.watsco.com,Public,"Market value as of March 28, 2024.",17061,45447,www.watsco.com,D,0.62,sustainable energy,12.179,
490,Workday,WDAY,Technology,Computer Software,yes,no,no,yes,72,yes,no,yes,no,yes,no,18800,72006,7259,16.8,1381,,16452,Carl M. Eschenbach,U.S.,Pleasanton,California,https://www.workday.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of March 28, 2024.",72006,45447,www.workday.com,F,0.92,bog standard energy,5339,
491,Old Republic International,ORI,Financials,Insurance: Property and Casualty (Stock),yes,no,no,no,-29,no,yes,no,no,no,no,9200,8463.5,7258.3,-10.2,598.6,-12.8,26501.4,Craig R. Smiddy,U.S.,Chicago,Illinois,https://www.oldrepublic.com,Public,"Market value as of March 28, 2024.",8464,45447,www.oldrepublic.com,A,0.1,bog standard energy,3.977,
492,RPM International,RPM,Chemicals,Chemicals,yes,no,no,yes,34,yes,no,yes,no,no,no,17274,15329.3,7256.4,8.2,478.7,-2.6,6782,Frank C. Sullivan,U.S.,Medina,Ohio,https://www.rpminc.com,Public,"Figures are for fiscal year ended May 31, 2023. Market value as of March 28, 2024.",15329,45447,www.rpminc.com,F,2.02,bog standard energy,19.609,
493,UFP Industries,UFPI,Materials,"Building Materials, Glass",yes,no,no,yes,-90,no,yes,no,no,no,no,15800,7568.8,7218.4,-25,514.3,-25.7,4017.8,Matthew J. Missad,U.S.,Grand Rapids,Michigan,https://www.ufpi.com,Public,"Market value as of March 28, 2024.",7569,45447,www.ufpi.com,F,1.48,sustainable energy,22.502,
494,Ameren,AEE,Energy,Utilities: Gas and Electric,yes,no,no,yes,-14,no,yes,no,no,no,no,9372,19711.1,7213,-5.9,1152,7.3,40830,Martin J. Lyons Jr.,U.S.,St. Louis,Missouri,https://www.ameren.com,Public,"Excise taxes have been deducted. Market value as of March 28, 2024.",19711,45447,www.ameren.com,E,0.81,bog standard energy,1883,
495,Knight-Swift Transportation Hldgs.,KNX,Transportation,"Trucking, Truck Leasing",yes,no,no,yes,-5,no,yes,no,no,no,no,34550,8885.4,7141.8,-3.9,217.1,-71.8,12870.8,Adam W. Miller,U.S.,Phoenix,Arizona,https://knight-swift.com,Public,"Market value as of March 28, 2024.",8885,45447,www.knight-swift.com,D,0.62,sustainable energy,1.785,
496,Monster Beverage,MNST,"Food, Beverages & Tobacco",Beverages,yes,no,no,yes,60,yes,no,yes,no,no,no,5629,61688.9,7140,13.1,1631,36.9,9686.5,Rodney C. Sacks/Hilton H. Schlosberg,U.S.,Corona,California,https://www.monsterbevcorp.com,Public,"Market value as of March 28, 2024.",61689,45447,www.monsterbevcorp.com,A,0.11,sustainable energy,40.328,
497,Intuitive Surgical,ISRG,Health Care,Medical Products and Equipment,yes,no,no,yes,63,yes,no,yes,no,no,no,13676,141456.9,7124.1,14.5,1798,36,15441.5,Gary S. Guthart,U.S.,Sunnyvale,California,https://www.intuitive.com,Public,"Market value as of March 28, 2024.",141457,45447,www.intuitive.com,C,0.47,bog standard energy,334.414,
498,Super Micro Computer,SMCI,Technology,"Computers, Office Equipment",yes,yes,no,yes,138,yes,no,yes,no,no,no,5126,59137.7,7123.5,37.1,640,124.4,3674.7,Charles Liang,U.S.,San Jose,California,https://www.supermicro.com,Public,"Figures are for fiscal year ended June 30, 2023. Market value as of March 28, 2024.",59138,45447,www.supermicro.com,A+,0.06,bog standard energy,1106,
499,Concentrix,CNXC,Technology,Information Technology Services,yes,no,no,yes,54,yes,no,yes,no,no,no,440000,4342.2,7114.7,12.5,313.8,-27.9,12491.8,Christopher A. Caldwell,U.S.,Newark,California,https://www.concentrix.com,Public,"Figures are for fiscal year ended Nov. 30, 2023. Market value as of March 28, 2024.",4342,45447,www.concentrix.com,D,0.54,sustainable energy,2429,
500,O-I Glass,OI,Materials,"Packaging, Containers",no,no,no,no,19,yes,no,yes,no,no,no,23000,2549.4,7105,3.6,-103,-117.6,9669,Gordon J. Hardie,U.S.,Perrysburg,Ohio,https://www.o-i.com,Public,"Market value as of March 28, 2024.",2549,45447,www.o-i.com,E,0.75,bog standard energy,74.185,
