Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,Footnote,MarketCap_Updated_M,Updated,Website URL,WC Grade,WC CO2 per Visit,Sustainable Energy,Monthly traffic in K,
292,Lumen Technologies,LUMN,Telecommunications,Telecommunications,no,no,yes,no,-55,no,yes,no,no,no,no,28000,1585,14557,-16.7,-10298,,34018,Kathleen E. Johnson,U.S.,Monroe,Louisiana,https://www.lumen.com,Public,"Market value as of March 28, 2024.",1585,45447,www.lumen.com,E,0.67,sustainable energy,956.846,
293,Tractor Supply,TSCO,Retailing,Specialty Retailers: Other,yes,no,no,yes,-2,no,yes,no,no,no,no,37500,28248,14555.7,2.5,1107.2,1.7,9188.2,Harry A. Lawton III,U.S.,Brentwood,Tennessee,https://www.tractorsupply.com,Public,"Market value as of March 28, 2024.",28248,45447,www.tractorsupply.com,F,1.99,bog standard energy,21100,
294,DXC Technology,DXC,Technology,Information Technology Services,no,no,no,no,-39,no,yes,no,no,no,no,130000,3878.7,14430,-11.3,-568,-179.1,15845,Raul J. Fernandez,U.S.,Ashburn,Virginia,https://dxc.com/us/en,Public,"Figures are for fiscal year ended March 31, 2023. Market value as of March 28, 2024.",3879,45447,www.dxc.com/us/en,D,0.57,sustainable energy,10.981,
295,AGCO,AGCO,Industrials,Construction and Farm Machinery,yes,no,no,yes,29,yes,no,no,no,yes,no,27900,9179.5,14412.4,13.9,1171.4,31.7,11421.2,Eric P. Hansotia,U.S.,Duluth,Georgia,https://www.agcocorp.com,Public,"Market value as of March 28, 2024.",9180,45447,www.agcocorp.com,B,0.28,bog standard energy,899.859,
296,Sonic Automotive,SAH,Retailing,"Automotive Retailing, Services",yes,no,no,yes,3,yes,no,no,no,no,no,10500,1941.7,14372.4,2.7,178.2,101.4,5364.6,David Bruton Smith,U.S.,Charlotte,North Carolina,https://www.sonicautomotive.com,Public,"Market value as of March 28, 2024.",1942,45447,www.sonicautomotive.com,F,3.71,sustainable energy,56.034,
297,Intuit,INTU,Technology,Computer Software,yes,no,no,yes,24,yes,no,no,no,yes,yes,22900,181986.4,14368,12.9,2384,15.4,27780,Sasan K. Goodarzi,U.S.,Mountain View,California,https://www.intuit.com,Public,"Figures are for fiscal year ended July 31, 2023. Market value as of March 28, 2024.",181986,45447,www.intuit.com,D,0.61,sustainable energy,114100,
298,United Rentals,URI,Business Services,Equipment Leasing,yes,no,no,yes,57,yes,no,no,no,no,no,26300,48437.2,14332,23.1,2424,15.2,25589,Matthew J. Flannery,U.S.,Stamford,Connecticut,https://www.unitedrentals.com,Public,"Market value as of March 28, 2024.",48437,45447,www.unitedrentals.com,D,0.6,sustainable energy,1306,
299,Universal Health Services,UHS,Health Care,Health Care: Medical Facilities,yes,no,no,yes,12,yes,no,no,no,yes,no,85025,12265.2,14282,6.6,717.8,6.2,13967.6,Marc D. Miller,U.S.,King of Prussia,Pennsylvania,https://www.uhs.com,Public,"Market value as of March 28, 2024.",12265,45447,www.uhs.com,F,2.12,sustainable energy,61.712,
300,Boston Scientific,BSX,Health Care,Medical Products and Equipment,yes,no,no,yes,23,yes,no,no,no,yes,no,48000,100673.1,14240,12.3,1592,128.1,35136,Michael F. Mahoney,U.S.,Marlborough,Massachusetts,https://www.bostonscientific.com,Public,"Market value as of March 28, 2024.",100673,45447,www.bostonscientific.com,F,1.15,bog standard energy,674.463,
301,Otis Worldwide,OTIS,Industrials,Industrial Machinery,yes,no,yes,yes,5,yes,no,no,no,yes,no,71000,40249.5,14209,3.8,1406,12.2,10117,Judith F. Marks,U.S.,Farmington,Connecticut,https://www.otis.com,Public,"Market value as of March 28, 2024.",40250,45447,www.otis.com,F,0.98,sustainable energy,438.646,
